prestamo_id,cliente_id,tipo,monto_otorgado,tasa_anual,plazo_meses,fecha_otorgamiento,estado,provincia
P0661,C0329,Consumo,293000.0,1.52,12,2023-01-10,Al día,Buenos Aires
P0662,C0453,Hipotecario,258000.0,1.58,60,2023-03-28,Al día,Buenos Aires
P0663,C0007,Automotriz,416000.0,1.22,36,2024-03-06,Al día,Santa Fe
P0664,C0483,Personal,530000.0,1.63,60,2024-02-06,Al día,CABA
P0665,C0626,Consumo,256000.0,0.57,60,2023-02-02,30 días mora,Córdoba
P0666,C0684,Personal,131000.0,0.81,60,2023-07-24,Cancelado,Mendoza
P0667,C0182,Personal,48000.0,1.36,36,2023-01-10,Al día,CABA
P0668,C0702,PyME,224000.0,1.65,12,2024-12-13,30 días mora,Buenos Aires
P0669,C0641,Consumo,197000.0,0.79,12,2023-11-09,60 días mora,CABA
P0670,C0888,PyME,263000.0,1.2,48,2024-03-27,Al día,Córdoba
P0671,C0464,Personal,107000.0,1.49,12,2024-07-17,Al día,Buenos Aires
P0672,C0325,Hipotecario,20000.0,0.7,24,2023-10-04,30 días mora,Rosario
P0673,C0362,PyME,204000.0,1.42,36,2024-11-16,Al día,Buenos Aires
P0674,C0141,Consumo,547000.0,1.4,24,2024-08-09,Al día,CABA
P0675,C0877,Personal,1017000.0,0.79,12,2023-01-29,30 días mora,Córdoba
P0676,C0125,Consumo,131000.0,1.47,48,2024-10-27,60 días mora,Córdoba
P0677,C0202,Consumo,241000.0,1.42,12,2024-01-28,Al día,Tucumán
P0678,C0255,Consumo,104000.0,0.95,12,2024-03-11,Al día,CABA
P0679,C0811,Hipotecario,41000.0,0.99,24,2024-09-07,Al día,Buenos Aires
P0680,C0428,Automotriz,179000.0,1.07,36,2024-07-26,Al día,Mendoza
P0681,C0655,Consumo,305000.0,1.45,36,2024-02-12,Al día,Mendoza
P0682,C0037,Automotriz,209000.0,0.9,48,2024-04-22,Al día,Mendoza
P0683,C0315,Hipotecario,163000.0,1.35,12,2023-07-26,Al día,CABA
P0684,C0998,Automotriz,400000.0,1.21,48,2023-09-11,Al día,Rosario
P0685,C0698,Hipotecario,223000.0,1.79,60,2024-08-20,Al día,Santa Fe
P0686,C0409,Hipotecario,943000.0,1.66,60,2023-10-22,Al día,Córdoba
P0687,C0514,Automotriz,83000.0,1.61,36,2023-11-10,30 días mora,Córdoba
P0688,C0513,Personal,13000.0,0.66,36,2023-12-09,Al día,Santa Fe
P0689,C0332,Automotriz,152000.0,1.48,48,2023-02-08,Al día,Buenos Aires
P0690,C0088,Automotriz,100000.0,1.08,12,2024-10-29,Al día,Mendoza
P0691,C0681,Consumo,155000.0,1.58,24,2024-04-26,Al día,CABA
P0692,C0473,PyME,28000.0,1.67,48,2024-06-20,Al día,Santa Fe
P0693,C0372,Automotriz,174000.0,0.68,48,2024-01-16,Al día,Santa Fe
P0694,C0276,Automotriz,41000.0,1.48,48,2024-02-28,Al día,Buenos Aires
P0695,C0420,Personal,141000.0,0.69,24,2024-04-13,Al día,Córdoba
P0696,C0144,Personal,36000.0,0.71,24,2024-05-22,Al día,CABA
P0697,C0373,Hipotecario,349000.0,0.57,12,2023-08-10,Al día,Buenos Aires
P0698,C0228,Personal,104000.0,1.71,24,2024-11-26,Al día,Mendoza
P0699,C0794,PyME,121000.0,1.0,60,2024-02-23,30 días mora,Buenos Aires
P0700,C0291,Hipotecario,621000.0,0.8,24,2023-10-20,Al día,Santa Fe
P0701,C0045,Personal,48000.0,1.23,36,2023-08-03,Al día,Buenos Aires
P0702,C0156,Personal,189000.0,0.81,24,2024-08-18,Al día,Santa Fe
P0703,C0493,Automotriz,249000.0,1.17,48,2023-03-03,Al día,CABA
P0704,C0623,Personal,375000.0,1.7,12,2024-11-04,60 días mora,Buenos Aires
P0705,C0375,Personal,679000.0,1.3,48,2024-10-09,30 días mora,CABA
P0706,C0884,Automotriz,950000.0,1.79,60,2023-03-18,60 días mora,Santa Fe
P0707,C0557,Personal,201000.0,0.83,48,2024-04-04,Al día,Buenos Aires
P0708,C0675,Hipotecario,40000.0,1.02,36,2024-03-13,60 días mora,Buenos Aires
P0709,C0762,Personal,31000.0,1.74,48,2024-12-18,30 días mora,Córdoba
P0710,C0548,Automotriz,144000.0,1.58,60,2023-01-13,60 días mora,Buenos Aires
P0711,C0449,PyME,39000.0,1.67,24,2024-04-23,Al día,Buenos Aires
P0712,C0728,PyME,67000.0,0.95,36,2023-06-15,90+ días mora,Santa Fe
P0713,C0849,PyME,1434000.0,1.61,24,2023-06-24,Al día,Santa Fe
P0714,C0300,Personal,335000.0,1.61,12,2023-08-21,Al día,CABA
P0715,C0124,Consumo,67000.0,1.14,12,2023-05-17,60 días mora,Santa Fe
P0716,C0383,Personal,97000.0,0.75,48,2023-04-10,Al día,Córdoba
P0717,C0876,Consumo,489000.0,1.75,48,2024-04-20,30 días mora,CABA
P0718,C0063,Personal,70000.0,1.46,24,2023-04-06,Al día,Buenos Aires
P0719,C0405,PyME,181000.0,1.27,24,2024-08-02,Al día,Buenos Aires
P0720,C0715,Personal,400000.0,1.72,60,2023-08-29,60 días mora,CABA
P0721,C0837,Automotriz,115000.0,0.91,60,2023-07-04,Al día,Santa Fe
P0722,C0542,Consumo,596000.0,1.47,48,2023-07-01,Al día,Córdoba
P0723,C0714,Personal,26000.0,1.2,24,2023-06-11,90+ días mora,CABA
P0724,C0711,Consumo,78000.0,0.77,60,2023-06-26,Al día,Rosario
P0725,C0588,Consumo,258000.0,1.28,36,2023-05-27,Al día,CABA
P0726,C0107,Personal,311000.0,1.02,60,2023-04-30,Al día,Buenos Aires
P0727,C0883,Personal,254000.0,1.34,60,2024-06-08,30 días mora,CABA
P0728,C0953,Personal,57000.0,1.75,36,2024-05-25,Al día,Tucumán
P0729,C0452,Personal,176000.0,0.95,36,2023-11-07,Al día,CABA
P0730,C0836,Personal,100000.0,1.45,48,2024-04-21,Al día,Mendoza
P0731,C0400,Automotriz,78000.0,1.42,12,2023-02-14,Al día,Buenos Aires
P0732,C0193,Consumo,397000.0,0.62,60,2024-06-18,Al día,Mendoza
P0733,C0944,PyME,40000.0,0.81,48,2023-11-17,60 días mora,Santa Fe
P0734,C0745,Hipotecario,365000.0,0.96,36,2023-12-29,60 días mora,Santa Fe
P0735,C0972,Personal,232000.0,0.6,24,2023-12-25,60 días mora,Santa Fe
P0736,C0496,Personal,165000.0,1.26,60,2023-01-29,30 días mora,Buenos Aires
P0737,C0544,Personal,48000.0,1.27,12,2024-04-21,Al día,Mendoza
P0738,C0120,PyME,164000.0,1.16,48,2024-05-23,Al día,Buenos Aires
P0739,C0852,Automotriz,237000.0,1.7,12,2023-06-15,Al día,CABA
P0740,C0891,Personal,131000.0,1.53,60,2024-03-28,Al día,Córdoba
P0741,C0734,Personal,505000.0,1.41,12,2024-09-01,Al día,Buenos Aires
P0742,C0128,Personal,2871000.0,1.12,12,2023-11-16,Al día,Santa Fe
P0743,C0297,Automotriz,201000.0,1.25,36,2023-04-24,Al día,Buenos Aires
P0744,C0567,Hipotecario,302000.0,1.38,12,2024-01-24,Al día,Buenos Aires
P0745,C0719,Automotriz,1187000.0,0.73,48,2023-09-28,Al día,CABA
P0746,C0475,Hipotecario,35000.0,1.7,12,2023-12-20,Al día,Córdoba
P0747,C0402,Consumo,266000.0,0.92,60,2024-01-10,Al día,Santa Fe
P0748,C0287,Consumo,170000.0,0.97,60,2024-10-03,Al día,CABA
P0749,C0302,Automotriz,192000.0,1.49,12,2024-12-18,Al día,CABA
P0750,C0490,PyME,94000.0,0.87,12,2023-01-21,Al día,Santa Fe
P0751,C0738,Personal,85000.0,1.43,36,2024-10-25,Al día,Buenos Aires
P0752,C0716,Personal,118000.0,0.8,36,2024-12-03,60 días mora,Mendoza
P0753,C0364,Hipotecario,374000.0,0.66,36,2024-07-22,Al día,Santa Fe
P0754,C0769,Personal,99000.0,1.46,48,2023-07-23,60 días mora,Santa Fe
P0755,C0511,PyME,346000.0,0.56,12,2023-12-14,Al día,CABA
P0756,C0222,Automotriz,7000.0,1.2,12,2024-05-02,Al día,Santa Fe
P0757,C0922,Hipotecario,103000.0,1.7,36,2024-05-18,30 días mora,Buenos Aires
P0758,C0590,Personal,657000.0,1.09,36,2023-03-20,Al día,Buenos Aires
P0759,C0498,Hipotecario,129000.0,1.39,48,2024-05-21,Al día,CABA
P0760,C0112,Consumo,237000.0,0.66,24,2023-10-23,Al día,CABA
P0761,C0945,Personal,114000.0,1.68,48,2023-04-22,Cancelado,CABA
P0762,C0301,Personal,385000.0,0.76,12,2024-11-22,Al día,CABA
P0763,C0535,Consumo,72000.0,0.92,48,2023-07-21,Al día,Buenos Aires
P0764,C0584,PyME,180000.0,1.41,48,2023-09-04,Cancelado,Buenos Aires
P0765,C0374,Personal,227000.0,1.27,24,2023-05-16,Al día,CABA
P0766,C0839,PyME,302000.0,1.53,12,2024-10-27,60 días mora,Buenos Aires
P0767,C0569,PyME,101000.0,1.8,24,2024-03-11,Al día,Buenos Aires
P0768,C0162,Automotriz,30000.0,0.57,24,2023-05-17,Al día,CABA
P0769,C0910,Automotriz,184000.0,1.03,24,2023-09-02,Al día,Córdoba
P0770,C0154,Personal,184000.0,1.13,12,2024-03-26,90+ días mora,Santa Fe
P0771,C0050,Personal,52000.0,0.67,36,2023-06-01,Cancelado,Buenos Aires
P0772,C0246,Personal,156000.0,1.0,12,2024-02-21,Al día,Buenos Aires
P0773,C0150,Consumo,682000.0,1.67,12,2024-04-08,Al día,Buenos Aires
P0774,C0993,PyME,143000.0,0.85,12,2024-07-07,Al día,CABA
P0775,C0632,Personal,83000.0,1.65,48,2024-07-09,Al día,CABA
P0776,C0885,Consumo,440000.0,1.09,48,2023-05-10,60 días mora,Córdoba
P0777,C0196,Personal,83000.0,0.6,60,2024-08-24,90+ días mora,Santa Fe
P0778,C0844,Personal,1513000.0,1.18,12,2024-10-17,Al día,Santa Fe
P0779,C0851,Personal,326000.0,1.14,24,2024-03-01,Al día,Córdoba
P0780,C0423,Hipotecario,910000.0,1.23,24,2024-05-30,Al día,Buenos Aires
P0781,C0583,PyME,61000.0,0.91,24,2024-10-26,Al día,Tucumán
P0782,C0565,Personal,62000.0,0.96,12,2024-03-20,30 días mora,Buenos Aires
P0783,C0868,Personal,63000.0,0.98,12,2023-06-23,Al día,Córdoba
P0784,C0564,PyME,279000.0,1.72,60,2024-11-04,Al día,Buenos Aires
P0785,C0488,Consumo,566000.0,0.95,60,2024-07-20,30 días mora,CABA
P0786,C0082,Automotriz,44000.0,1.18,60,2024-05-16,Cancelado,CABA
P0787,C0878,Personal,512000.0,1.21,60,2024-12-30,Al día,Tucumán
P0788,C0275,Consumo,384000.0,0.74,12,2024-10-20,Al día,CABA
P0789,C0725,Personal,130000.0,1.74,60,2023-08-22,Al día,CABA
P0790,C0704,Automotriz,434000.0,1.18,24,2023-11-30,Al día,CABA
P0791,C0928,Personal,218000.0,1.26,36,2024-06-18,30 días mora,Santa Fe
P0792,C0710,PyME,18000.0,1.42,12,2024-04-04,30 días mora,Buenos Aires
P0793,C0273,Personal,46000.0,0.63,36,2024-07-01,Al día,Buenos Aires
P0794,C0385,Personal,181000.0,1.32,12,2024-01-14,Al día,Buenos Aires
P0795,C0957,Hipotecario,768000.0,1.04,60,2024-10-23,30 días mora,Mendoza
P0796,C0249,Personal,16000.0,1.04,24,2023-10-07,Al día,CABA
P0797,C0954,Hipotecario,37000.0,1.76,60,2024-07-19,Al día,CABA
P0798,C0614,PyME,61000.0,1.66,48,2023-12-21,Al día,Buenos Aires
P0799,C0810,Personal,26000.0,1.64,48,2023-01-15,Al día,Rosario
P0800,C0235,Hipotecario,214000.0,1.65,60,2023-06-27,Al día,Buenos Aires
